1,1518-11-01,00:00,Guard #10 begins shift,10,1518-11-01 00:00
2,1518-11-01,00:05,falls asleep,10,1518-11-01 00:05
3,1518-11-01,00:25,wakes up,10,1518-11-01 00:25
4,1518-11-01,00:30,falls asleep,10,1518-11-01 00:30
5,1518-11-01,00:55,wakes up,10,1518-11-01 00:55
9,1518-11-03,00:05,Guard #10 begins shift,10,1518-11-03 00:05
10,1518-11-03,00:24,falls asleep,10,1518-11-03 00:24
11,1518-11-03,00:29,wakes up7,10,1518-11-03 00:29
6,1518-11-01,23:58,Guard #99 begins shift,99,1518-11-01 23:58
7,1518-11-02,00:40,falls asleep,99,1518-11-02 00:40
8,1518-11-02,00:50,wakes up,99,1518-11-02 00:50
12,1518-11-04,00:02,Guard #99 begins shift,99,1518-11-04 00:02
13,1518-11-04,00:36,falls asleep,99,1518-11-04 00:36
14,1518-11-04,00:46,wakes up,99,1518-11-04 00:46
15,1518-11-05,00:03,Guard #99 begins shift,99,1518-11-05 00:03
16,1518-11-05,00:45,falls asleep,99,1518-11-05 00:45
17,1518-11-05,00:55,wakes up,99,1518-11-05 00:55
