20,1518-03-03,23:58,Guard #83 begins shift,83,1518-03-03 23:58
21,1518-03-04,00:29,falls asleep,83,1518-03-04 00:29
22,1518-03-04,00:39,wakes up,83,1518-03-04 00:39
199,1518-04-19,23:58,Guard #83 begins shift,83,1518-04-19 23:58
200,1518-04-20,00:11,falls asleep,83,1518-04-20 00:11
201,1518-04-20,00:28,wakes up,83,1518-04-20 00:28
202,1518-04-20,00:44,falls asleep,83,1518-04-20 00:44
203,1518-04-20,00:52,wakes up,83,1518-04-20 00:52
220,1518-04-24,23:56,Guard #83 begins shift,83,1518-04-24 23:56
221,1518-04-25,00:18,falls asleep,83,1518-04-25 00:18
222,1518-04-25,00:52,wakes up,83,1518-04-25 00:52
231,1518-04-27,23:59,Guard #83 begins shift,83,1518-04-27 23:59
232,1518-04-28,00:41,falls asleep,83,1518-04-28 00:41
233,1518-04-28,00:57,wakes up,83,1518-04-28 00:57
354,1518-05-26,23:53,Guard #83 begins shift,83,1518-05-26 23:53
355,1518-05-27,00:02,falls asleep,83,1518-05-27 00:02
356,1518-05-27,00:31,wakes up,83,1518-05-27 00:31
461,1518-06-27,00:04,Guard #83 begins shift,83,1518-06-27 00:04
462,1518-06-27,00:29,falls asleep,83,1518-06-27 00:29
463,1518-06-27,00:39,wakes up,83,1518-06-27 00:39
464,1518-06-27,00:46,falls asleep,83,1518-06-27 00:46
465,1518-06-27,00:52,wakes up,83,1518-06-27 00:52
590,1518-07-31,23:54,Guard #83 begins shift,83,1518-07-31 23:54
591,1518-08-01,00:01,falls asleep,83,1518-08-01 00:01
592,1518-08-01,00:24,wakes up,83,1518-08-01 00:24
593,1518-08-01,00:34,falls asleep,83,1518-08-01 00:34
594,1518-08-01,00:42,wakes up,83,1518-08-01 00:42
595,1518-08-01,00:54,falls asleep,83,1518-08-01 00:54
596,1518-08-01,00:56,wakes up,83,1518-08-01 00:56
989,1518-11-06,00:03,Guard #83 begins shift,83,1518-11-06 00:03
990,1518-11-06,00:15,falls asleep,83,1518-11-06 00:15
991,1518-11-06,00:54,wakes up,83,1518-11-06 00:54
148,1518-04-07,00:04,Guard #151 begins shift,151,1518-04-07 00:04
149,1518-04-07,00:17,falls asleep,151,1518-04-07 00:17
150,1518-04-07,00:45,wakes up,151,1518-04-07 00:45
